,Color,Traits,Image Name
0,['dark'],['pinstripe'],2702167.jpeg
1,['red'],"['dalmatian', 'super dalmatian', 'ink spot', 'red spot']",2702191.jpeg
2,['yellow'],"['dalmatian', 'harlequin']",2077235.jpeg
3,"['cream', 'dark']",['extreme harlequin'],1563067.jpeg
4,['red'],['harlequin'],2702154.jpeg
5,['dark'],['partial pinstripe'],2702137.jpeg
6,['yellow'],"['fringing', 'kneecaps']",2036716.jpeg
7,['yellow'],"['extreme harlequin', 'snowflake', 'fringing', 'kneecaps']",2036706.jpeg
8,['yellow'],"['extreme harlequin', 'kneecaps', 'tri-color']",2036694.jpeg
9,['dark'],[],2702124.jpeg
10,['red'],['lilly white'],2571375.jpeg
11,['dark'],"['snowflake', 'tri-color', 'drippy']",2657086.jpeg
12,['dark'],"['snowflake', 'tri-color', 'drippy']",2657052.jpeg
13,['cream'],"['fringing', 'kneecaps']",2036670.jpeg
14,['red'],['patternless'],2522623.jpeg
15,['yellow'],[],2036610.jpeg
16,['cream'],"['dalmatian', 'ink spot']",2036567.jpeg
17,['red'],['dalmatian'],2649126.jpeg
18,['dark'],"['extreme harlequin', 'harlequin', 'tri-color']",1389179.jpeg
19,['yellow'],"['fringing', 'kneecaps']",2036545.jpeg
20,['cream'],"['extreme harlequin', 'pinstripe', 'tri-color']",2036535.jpeg
21,['dark'],"['extreme harlequin', 'harlequin', 'tri-color']",2369583.jpeg
22,['red'],"['dalmatian', 'phantom']",2649047.jpeg
23,['red'],"['lilly white', 'phantom']",2701835.jpeg
24,"['cream', 'dark']",['extreme harlequin'],2231655.jpeg
25,['red'],"['lilly white', 'phantom']",2701835.jpeg
26,"['cream', 'dark']",['extreme harlequin'],2231655.jpeg
27,['dark'],"['pinstripe', 'crowned', 'drippy']",2701814.jpeg
28,"['dark', 'yellow']",['extreme harlequin'],2701796.jpeg
29,['red'],[],2261870.jpeg
30,"['dark', 'yellow']","['extreme harlequin', 'pos orange', 'pos black']",2144238.jpeg
31,['red'],['super dalmatian'],2570961.jpeg
32,['red'],['extreme harlequin'],1441282.jpeg
33,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2036464.jpeg
34,['yellow'],"['quad-stripe', 'drippy']",2570891.jpeg
35,['red'],"['extreme harlequin', 'white tip']",2273613.jpeg
36,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2036464.jpeg
37,['yellow'],"['quad-stripe', 'drippy']",2570891.jpeg
38,['red'],"['extreme harlequin', 'white tip']",2273613.jpeg
39,['red'],['dalmatian'],2522291.jpeg
40,['yellow'],"['super dalmatian', 'ink spot', 'oil spot', 'fringing', 'kneecaps']",2036459.jpeg
41,"['cream', 'yellow']","['quad-stripe', 'fringing', 'kneecaps']",2036452.jpeg
42,['yellow'],"['fringing', 'kneecaps']",2036450.jpeg
43,['red'],['harlequin'],2701715.jpeg
