,Traits,Image Name,cream,dark,lavender,olive,red,yellow
0,['pinstripe'],2702167.jpeg,0,1,0,0,0,0
1,"['dalmatian', 'super dalmatian', 'ink spot', 'red spot']",2702191.jpeg,0,0,0,0,1,0
2,"['dalmatian', 'harlequin']",2077235.jpeg,0,0,0,0,0,1
3,"['extreme harlequin', 'extreme harlequin']",1563067.jpeg,1,1,0,0,0,0
4,['harlequin'],2702154.jpeg,0,0,0,0,1,0
5,['partial pinstripe'],2702137.jpeg,0,1,0,0,0,0
6,"['fringing', 'kneecaps']",2036716.jpeg,0,0,0,0,0,1
7,"['extreme harlequin', 'snowflake', 'fringing', 'kneecaps']",2036706.jpeg,0,0,0,0,0,1
8,"['extreme harlequin', 'kneecaps', 'tri-color']",2036694.jpeg,0,0,0,0,0,1
9,[],2702124.jpeg,0,1,0,0,0,0
10,['lilly white'],2571375.jpeg,0,0,0,0,1,0
11,"['snowflake', 'tri-color', 'drippy']",2657086.jpeg,0,1,0,0,0,0
12,"['snowflake', 'tri-color', 'drippy']",2657052.jpeg,0,1,0,0,0,0
13,"['fringing', 'kneecaps']",2036670.jpeg,1,0,0,0,0,0
14,['patternless'],2522623.jpeg,0,0,0,0,1,0
15,[],2036610.jpeg,0,0,0,0,0,1
16,"['dalmatian', 'ink spot']",2036567.jpeg,1,0,0,0,0,0
17,['dalmatian'],2649126.jpeg,0,0,0,0,1,0
18,"['extreme harlequin', 'harlequin', 'tri-color']",1389179.jpeg,0,1,0,0,0,0
19,"['fringing', 'kneecaps']",2036545.jpeg,0,0,0,0,0,1
20,"['extreme harlequin', 'pinstripe', 'tri-color']",2036535.jpeg,1,0,0,0,0,0
21,"['extreme harlequin', 'harlequin', 'tri-color']",2369583.jpeg,0,1,0,0,0,0
22,"['dalmatian', 'phantom']",2649047.jpeg,0,0,0,0,1,0
23,"['lilly white', 'phantom']",2701835.jpeg,0,0,0,0,1,0
24,"['extreme harlequin', 'extreme harlequin']",2231655.jpeg,1,1,0,0,0,0
25,"['lilly white', 'phantom']",2701835.jpeg,0,0,0,0,1,0
26,"['extreme harlequin', 'extreme harlequin']",2231655.jpeg,1,1,0,0,0,0
27,"['pinstripe', 'crowned', 'drippy']",2701814.jpeg,0,1,0,0,0,0
28,"['extreme harlequin', 'extreme harlequin']",2701796.jpeg,0,1,0,0,0,1
29,[],2261870.jpeg,0,0,0,0,1,0
30,"['extreme harlequin', 'pos orange', 'pos black', 'extreme harlequin', 'pos orange', 'pos black']",2144238.jpeg,0,1,0,0,0,1
31,['super dalmatian'],2570961.jpeg,0,0,0,0,1,0
32,['extreme harlequin'],1441282.jpeg,0,0,0,0,1,0
33,"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2036464.jpeg,0,0,0,0,0,1
34,"['quad-stripe', 'drippy']",2570891.jpeg,0,0,0,0,0,1
35,"['extreme harlequin', 'white tip']",2273613.jpeg,0,0,0,0,1,0
36,"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2036464.jpeg,0,0,0,0,0,1
37,"['quad-stripe', 'drippy']",2570891.jpeg,0,0,0,0,0,1
38,"['extreme harlequin', 'white tip']",2273613.jpeg,0,0,0,0,1,0
39,['dalmatian'],2522291.jpeg,0,0,0,0,1,0
40,"['super dalmatian', 'ink spot', 'oil spot', 'fringing', 'kneecaps']",2036459.jpeg,0,0,0,0,0,1
41,"['quad-stripe', 'fringing', 'kneecaps', 'quad-stripe', 'fringing', 'kneecaps']",2036452.jpeg,1,0,0,0,0,1
42,"['fringing', 'kneecaps']",2036450.jpeg,0,0,0,0,0,1
43,['harlequin'],2701715.jpeg,0,0,0,0,1,0
44,"['pinstripe', 'white out', 'tangerine']",2701701.jpeg,0,1,0,0,0,0
45,['snowflake'],2701698.jpeg,0,0,0,0,1,0
46,"['extreme harlequin', 'reverse pinstripe', 'portholes']",1657685.jpeg,0,0,0,0,0,1
47,[],2478698.jpeg,1,0,0,0,0,1
48,"['dalmatian', 'super dalmatian', 'ink spot']",2289179.jpeg,0,0,0,0,0,1
49,"['extreme harlequin', 'tri-color']",2701586.jpeg,0,0,1,0,0,0
50,['harlequin'],1654825.jpeg,0,1,0,0,0,0
51,"['blonde', 'phantom', 'blonde', 'phantom']",2701564.jpeg,0,0,0,0,1,1
52,"['harlequin', 'partial pinstripe', 'tri-color']",2522025.jpeg,0,1,0,0,0,0
53,"['harlequin', 'quad-stripe', 'harlequin', 'quad-stripe']",1654812.jpeg,0,1,0,0,1,0
54,"['dalmatian', 'harlequin']",2636096.jpeg,0,0,0,0,1,0
55,"['extreme harlequin', 'tri-color', 'drippy']",1611710.jpeg,0,1,0,0,0,0
56,"['pinstripe', 'reverse pinstripe', 'white wall', 'creamsicle']",1747336.jpeg,0,0,0,0,0,1
57,['harlequin'],1747524.jpeg,0,0,0,0,1,0
58,[],2216198.jpeg,0,1,0,0,0,0
59,[],2215460.jpeg,0,1,0,0,0,0
60,['snowflake'],2701480.jpeg,0,1,0,0,0,0
61,['quad-stripe'],2320812.jpeg,0,0,0,0,1,0
62,"['partial pinstripe', 'pinstripe']",2701392.jpeg,0,1,0,0,0,0
63,"['partial pinstripe', 'pinstripe']",2333654.jpeg,0,1,0,0,0,0
64,"['dalmatian', 'phantom']",1994244.jpeg,0,0,0,0,1,0
65,"['pinstripe', 'empty back', 'axanthic']",2701078.jpeg,0,1,0,0,0,0
66,['quad-stripe'],2320812.jpeg,0,0,0,0,1,0
67,"['partial pinstripe', 'pinstripe']",2701392.jpeg,0,1,0,0,0,0
68,"['partial pinstripe', 'pinstripe']",2333654.jpeg,0,1,0,0,0,0
