,Tag,Image Name
0,['phantom'],2123697.jpeg
1,"['pinstripe', 'dark']",2702167.jpeg
2,"['dalmatian', 'super dalmatian', 'ink spot', 'red spot', 'red']",2702191.jpeg
3,['buckskin'],2571629.jpeg
4,"['dalmatian', 'harlequin', 'yellow']",2077235.jpeg
5,"['extreme harlequin', 'cream', 'black', 'dark']",1563067.jpeg
6,['tri-color'],2522851.jpeg
7,['harlequin'],1536787.jpeg
8,"['brindle', 'extreme harlequin']",2601807.jpeg
9,['harlequin'],2123751.jpeg
10,"['harlequin', 'tri-color']",2123720.jpeg
11,['harlequin'],2123702.jpeg
12,"['extreme harlequin', 'harlequin']",2378992.jpeg
13,['super dalmatian'],2702161.jpeg
14,"['dalmatian', 'ink spot']",2123689.jpeg
15,"['harlequin', 'red']",2702154.jpeg
16,"['partial pinstripe', 'dark']",2702137.jpeg
17,"['fringing', 'kneecaps', 'yellow']",2036716.jpeg
18,"['extreme harlequin', 'fringing', 'kneecaps']",2036683.jpeg
19,"['extreme harlequin', 'snowflake', 'fringing', 'kneecaps', 'yellow']",2036706.jpeg
20,"['extreme harlequin', 'kneecaps', 'yellow', 'tri-color']",2036694.jpeg
21,['dark'],2702124.jpeg
22,"['lilly white', 'red base']",2571375.jpeg
23,"['snowflake', 'black', 'tri-color', 'drippy']",2657086.jpeg
24,"['snowflake', 'black', 'tri-color', 'drippy']",2657052.jpeg
25,"['fringing', 'kneecaps', 'cream']",2036670.jpeg
26,"['extreme harlequin', 'fringing', 'kneecaps']",2036660.jpeg
27,"['red', 'patternless']",2522623.jpeg
28,['yellow'],2036610.jpeg
29,"['dalmatian', 'extreme harlequin']",2522541.jpeg
30,['extreme harlequin'],2522452.jpeg
31,"['dalmatian', 'ink spot', 'cream']",2036567.jpeg
32,"['dalmatian', 'red']",2649126.jpeg
33,"['extreme harlequin', 'harlequin', 'dark', 'tri-color']",1389179.jpeg
34,"['fringing', 'kneecaps', 'yellow']",2036545.jpeg
35,"['extreme harlequin', 'pinstripe', 'cream', 'tri-color']",2036535.jpeg
36,"['pinstripe', 'tangerine', 'tri-color']",2701938.jpeg
37,"['harlequin', 'partial pinstripe']",2701937.jpeg
38,"['extreme harlequin', 'harlequin', 'dark', 'tri-color']",2369583.jpeg
39,"['dalmatian', 'orange', 'phantom']",2649047.jpeg
40,"['harlequin', 'tangerine', 'tri-color']",2701890.jpeg
41,"['lilly white', 'phantom', 'red base']",2701835.jpeg
42,"['extreme harlequin', 'cream', 'dark']",2231655.jpeg
