ID,Traits,Link
(MM-2123697),['Phantom'],/us/c/reptiles/lizards/crested-geckos/2123697
CB24-2-1,['Buckskin'],/us/c/reptiles/lizards/crested-geckos/2571629
2024-0017,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2522851
Trinc1,['Harlequin'],/us/c/reptiles/lizards/crested-geckos/1536787
(MM-2123751),['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2123751
(MM-2123702),['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2123702
Pistachio,['Super Dalmatian'],/us/c/reptiles/lizards/crested-geckos/2702161
Persxabsol,['Dark'],/us/c/reptiles/lizards/crested-geckos/2702124
Cr-1136,['Yellow'],/us/c/reptiles/lizards/crested-geckos/2036610
22m_7200,['Extreme Harlequin'],/us/c/reptiles/lizards/crested-geckos/2522452
PXH-KONA-2023,['Red'],/us/c/reptiles/lizards/crested-geckos/2261870
Cr-1462,['Super Dalmatian'],/us/c/reptiles/lizards/crested-geckos/2036481
Cr-1456,['Dalmatian'],/us/c/reptiles/lizards/crested-geckos/2036483
PhFu4,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2570905
DoSn,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2367494
But,['Extreme Harlequin'],/us/c/reptiles/lizards/crested-geckos/2355116
DoSn,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2367494
But,['Extreme Harlequin'],/us/c/reptiles/lizards/crested-geckos/2355116
Cr-1233,['Fringing'],/us/c/reptiles/lizards/crested-geckos/2036454
Cr-1182,['Phantom'],/us/c/reptiles/lizards/crested-geckos/2036448
Cherry,['Red'],/us/c/reptiles/lizards/crested-geckos/2701698
GrPp04,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/1747472
GrPp01,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/1747444
GrPp08,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/1747499
ChAu04,['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2225856
JoTe05,['Extreme Harlequin'],/us/c/reptiles/lizards/crested-geckos/2226156
Sloppy1,['Brindle'],/us/c/reptiles/lizards/crested-geckos/2701483
FrRa05,['Black'],/us/c/reptiles/lizards/crested-geckos/2216198
FrRa01,['Black'],/us/c/reptiles/lizards/crested-geckos/2215460
DH3,['Extreme Harlequin'],/us/c/reptiles/lizards/crested-geckos/2701407
EverclearXFanta2,['Red'],/us/c/reptiles/lizards/crested-geckos/2701074
LS3,['White Out'],/us/c/reptiles/lizards/crested-geckos/2701057
LWFC19,['Mocha'],/us/c/reptiles/lizards/crested-geckos/2701042
TJ0827-2,['Pin-dashed'],/us/c/reptiles/lizards/crested-geckos/2700964
Mm19,['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2584920
(MM-2255643),['Super Stripe'],/us/c/reptiles/lizards/crested-geckos/2255643
Mm17,['Extreme Harlequin'],/us/c/reptiles/lizards/crested-geckos/2584912
MaGa.23.C3.7,['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2312093
MaGa.23.C4.15,['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2312086
MoLe.23.C5.30,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2583566
MoLe.23.C5.31,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2583565
MoLe.23.C6.44,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2583558
MoTe.23.C9.43,['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2583559
MaGa.23.C8.46,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2583556
MaGa.23.C8.47,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2583555
MaGi.23.C8.52,['Tri-color'],/us/c/reptiles/lizards/crested-geckos/2583552
MaEd0722-0916,['Extreme Harlequin'],/us/c/reptiles/lizards/crested-geckos/2584580
KaNe0122-0916,['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2584557
(MM-2569574),['Harlequin'],/us/c/reptiles/lizards/crested-geckos/2569574
26CG24,['Lavender'],/us/c/reptiles/lizards/crested-geckos/2700537
