Tag,Image Name
['Phantom'],2123697.jpeg
"['Pinstripe', 'Dark']",2702167.jpeg
"['Dalmatian', 'Super Dalmatian', 'Ink Spot', 'Red Spot', 'Red']",2702191.jpeg
['Buckskin'],2571629.jpeg
"['Dalmatian', 'Harlequin', 'Yellow']",2077235.jpeg
"['Extreme Harlequin', 'Cream', 'Black', 'Dark']",1563067.jpeg
['Tri-color'],2522851.jpeg
['Harlequin'],1536787.jpeg
"['Brindle', 'Extreme Harlequin']",2601807.jpeg
['Harlequin'],2123751.jpeg
"['Harlequin', 'Tri-color']",2123720.jpeg
['Harlequin'],2123702.jpeg
"['Extreme Harlequin', 'Harlequin']",2378992.jpeg
['Super Dalmatian'],2702161.jpeg
"['Dalmatian', 'Ink Spot']",2123689.jpeg
"['Harlequin', 'Red']",2702154.jpeg
"['Partial Pinstripe', 'Dark']",2702137.jpeg
"['Fringing', 'Kneecaps', 'Yellow']",2036716.jpeg
"['Extreme Harlequin', 'Fringing', 'Kneecaps']",2036683.jpeg
"['Extreme Harlequin', 'Snowflake', 'Fringing', 'Kneecaps', 'Yellow']",2036706.jpeg
"['Extreme Harlequin', 'Kneecaps', 'Yellow', 'Tri-color']",2036694.jpeg
['Dark'],2702124.jpeg
"['Lilly White', 'Red Base']",2571375.jpeg
"['Snowflake', 'Black', 'Tri-color', 'Drippy']",2657086.jpeg
"['Snowflake', 'Black', 'Tri-color', 'Drippy']",2657052.jpeg
"['Fringing', 'Kneecaps', 'Cream']",2036670.jpeg
"['Extreme Harlequin', 'Fringing', 'Kneecaps']",2036660.jpeg
"['Red', 'Patternless']",2522623.jpeg
['Yellow'],2036610.jpeg
"['Dalmatian', 'Extreme Harlequin']",2522541.jpeg
['Extreme Harlequin'],2522452.jpeg
"['Dalmatian', 'Ink Spot', 'Cream']",2036567.jpeg
"['Dalmatian', 'Red']",2649126.jpeg
"['Extreme Harlequin', 'Harlequin', 'Dark', 'Tri-color']",1389179.jpeg
"['Fringing', 'Kneecaps', 'Yellow']",2036545.jpeg
